temperature,humidity,tvoc,ecodua,rawhdua,rawethanol,pressure,nckosonglima,ncsatu,firealarm
20,57.36,0,400,12306,18520,939.735,0,0,0
20.015,56.67,0,400,12345,18651,939.744,0,0,0
20.029,55.96,0,400,12374,18764,939.738,0,0,0
20.044,55.28,0,400,12390,18849,939.736,0,0,0
20.059,54.69,0,400,12403,18921,939.744,0,0,0
20.073,54.12,0,400,12419,18998,939.725,0,0,0
20.088,53.61,0,400,12432,19058,939.738,0,0,0
20.103,53.2,0,400,12439,19114,939.758,0,0,0
20.117,52.81,0,400,12448,19155,939.758,0,0,0
20.132,52.46,0,400,12453,19195,939.756,0,4.369,0
20.146,52.15,0,400,12454,19230,939.757,0,4.289,0
20.161,51.84,0,400,12467,19264,939.754,0,4.053,0
20.175,51.62,0,400,12467,19299,939.755,0,3.909,0
20.19,51.39,0,400,12469,19317,939.758,0,3.588,0
20.204,51.17,0,403,12468,19338,939.742,0,3.419,0
20.219,50.99,0,400,12475,19362,939.741,0,3.077,0
20.233,50.86,0,400,12480,19382,939.758,0,2.908,0
20.248,50.66,0,400,12477,19400,939.764,0,2.58,0
20.262,50.49,0,400,12481,19422,939.761,0,2.423,0
20.277,50.27,0,406,12489,19451,939.752,0,1.987,0
20.291,50.15,0,400,12491,19456,939.729,0,1.855,0
20.305,50.02,0,400,12487,19470,939.741,0,1.61,0
20.32,49.96,0,400,12492,19489,939.756,0,1.497,0
20.334,49.83,0,415,12495,19489,939.764,0,1.291,0
20.348,49.76,0,400,12498,19503,939.77,0,1.197,0
20.363,49.65,0,401,12499,19516,939.774,0,1.026,0
20.377,49.58,0,404,12503,19525,939.771,0,0.949,0
20.391,49.37,30,445,12478,19500,939.771,0.14,0.665,0
20.406,49.58,36,455,12472,19487,939.77,0.13,0.644,0
20.42,50.11,20,443,12471,19493,939.775,0.12,0.595,0
20.434,50.68,16,435,12481,19509,939.772,0.12,0.569,0
20.448,51.23,8,440,12482,19520,939.772,0.11,0.514,0
20.462,51.77,11,440,12479,19515,939.762,0.1,0.487,0
20.477,52.28,0,420,12486,19532,939.769,0.09,0.434,0
20.491,52.74,0,414,12489,19535,939.747,0.08,0.408,0
20.505,53.12,3,413,12490,19541,939.754,0.07,0.359,0
20.519,53.5,0,410,12491,19541,939.755,0.07,0.336,0
20.533,53.84,0,413,12498,19552,939.747,0.06,0.293,0
20.547,54.13,0,400,12498,19569,939.757,0.06,0.273,0
20.561,54.41,6,415,12491,19559,939.761,0.05,0.236,0
20.575,54.67,7,406,12498,19553,939.766,0.05,0.219,0
20.589,54.91,0,400,12503,19578,939.765,0.04,0.204,0
20.603,55.08,0,410,12497,19565,939.761,0.04,0.175,0
20.617,55.28,0,400,12505,19565,939.757,0.03,0.162,0
20.631,55.49,0,400,12508,19581,939.762,0.03,0.138,0
20.645,55.86,8,404,12501,19574,939.754,0.02,0.1,0
20.659,55.99,9,406,12505,19582,939.754,0.02,0.092,0
20.673,56.11,0,400,12507,19585,939.745,0.02,0.078,0
20.687,56.18,0,400,12514,19594,939.741,0.01,0.072,0
20.701,56.32,0,408,12510,19587,939.722,0.01,0.061,0
20.715,56.36,6,416,12503,19580,939.711,0.01,0.056,0
20.729,56.47,14,411,12508,19587,939.701,0.01,0.047,0
20.743,56.55,11,404,12512,19596,939.693,0.01,0.043,0
20.756,56.6,11,404,12513,19591,939.707,0.01,0.036,0
20.77,56.66,4,400,12514,19595,939.718,0.01,0.033,0
20.784,56.91,0,400,12535,19628,939.722,0.01,0.028,0
20.798,56.64,0,400,12532,19626,939.721,0.01,0.026,0
20.812,56.06,0,400,12538,19624,939.709,0.05,1.906,0
20.825,55.38,0,400,12539,19629,939.714,0.04,1.428,0
20.839,54.75,0,401,12539,19636,939.718,0.02,0.594,0
20.853,54.14,4,406,12536,19627,939.719,0.01,0.364,0
20.867,53.6,11,415,12529,19625,939.734,0.07,0.95,0
20.88,53.11,0,400,12531,19635,939.746,0.07,0.893,0
20.894,52.66,0,418,12536,19647,939.752,0.05,0.742,0
20.908,52.27,10,411,12534,19635,939.76,0.05,0.678,0
20.921,51.94,27,415,12527,19623,939.758,0.05,0.624,0
20.935,51.66,18,413,12530,19635,939.762,0.04,0.541,0
20.948,51.38,23,421,12532,19631,939.779,0.04,0.509,0
